,latitud,longitud
0,-2.18645184450228,-79.8981195688248
1,-2.18654833372506,-79.8978567123413
2,-2.18666626498892,-79.8975187540054
3,-2.18674667266352,-79.8972290754318
4,-2.18684852237848,-79.8969179391861
5,-2.1869557325973,-79.8966068029404
6,-2.18706830331881,-79.8962634801865
7,-2.18698789566145,-79.8965638875961
8,-2.18712190842132,-79.8961347341538
9,-2.1872130370912,-79.89581823349
10,-2.18728808422693,-79.8955392837525
11,-2.18741137594178,-79.8951905965805
12,-2.18752394662909,-79.8948258161545
13,-2.18763115679964,-79.8945790529251
14,-2.18771156442252,-79.8943269252777
15,-2.18780805356428,-79.8939996957779
16,-2.18793670574364,-79.8935920000076
17,-2.18803855537782,-79.893296957016
18,-2.188129683992,-79.8930126428604
19,-2.18822617310685,-79.8927390575409
20,-2.1883333832272,-79.892395734787
21,-2.18840843030688,-79.8921382427216
22,-2.18849419839334,-79.8919075727463
23,-2.18856924546496,-79.8916876316071
24,-2.18866037404689,-79.8914301395416
25,-2.18871397909249,-79.8911994695664
26,-2.18882118917795,-79.8908722400665
27,-2.18893375975944,-79.890587925911
28,-2.18899272529874,-79.8903518915177
29,-2.18907849335177,-79.8901158571243
30,-2.18918570341117,-79.8897725343704
31,-2.18931435547232,-79.8894238471985
32,-2.18916962190275,-79.8897886276245
33,-2.18670345353896,-79.897258579731
34,-2.18645150947025,-79.8981329798699
35,-2.18645955023905,-79.8981115221977
36,-2.18646491075156,-79.8980981111526
37,-2.18647027126405,-79.8980847001076
38,-2.1864729515203,-79.8980659246445
39,-2.18648099228898,-79.8980498313904
40,-2.18648635280141,-79.8980364203453
41,-2.18649171331383,-79.8980122804642
42,-2.18650243433861,-79.8979961872101
43,-2.18650511459479,-79.897977411747
44,-2.18651047510713,-79.8979586362839
45,-2.18652387638793,-79.8979344964028
46,-2.18652655664407,-79.8979076743126
47,-2.18653191715634,-79.8978888988495
48,-2.18653727766859,-79.8978754878044
49,-2.18654531843694,-79.8978593945503
50,-2.18655067894914,-79.8978379368782
51,-2.18655335920524,-79.8978191614151
52,-2.18655871971742,-79.897800385952
53,-2.18673561660852,-79.8971378803253
54,-2.18678654146724,-79.8969930410385
55,-2.18703848547971,-79.8962312936783
56,-2.18711353262417,-79.8960623145104
57,-2.18716981798006,-79.8958799242973
58,-2.18725826639221,-79.8956036567688
59,-2.18687230964645,-79.8967516422272
60,-2.18691519373421,-79.8966363072395
61,-2.18694735679924,-79.8965129256249
62,-2.18720466129456,-79.8957565426826
63,-2.18727434792112,-79.8954641819
64,-2.18715373645003,-79.8954373598099
65,-2.18675437839878,-79.8953139781952
66,-2.18671953507382,-79.8952093720436
67,-2.186885710924,-79.8946809768677
68,-2.18697951986356,-79.8944771289826
69,-2.18675973891024,-79.8948526382446
70,-2.18652387638793,-79.8955580592155
71,-2.1864327476762,-79.8958557844162
72,-2.18675705865451,-79.8950672149658
73,-2.1868079835125,-79.8949331045151
74,-2.1868508676021,-79.8947963118553
75,-2.18692591475597,-79.89456564188
76,-2.18708673007302,-79.8945039510727
77,-2.1871885797649,-79.8945415019989
78,-2.18730651097844,-79.8945763707161
79,-2.18648099228898,-79.8957028985024
80,-2.18681870453501,-79.8946809768677
81,-2.18666592995694,-79.8951315879822
82,-2.18673293635275,-79.8949277400971
83,-2.18678654146724,-79.8947748541832
84,-2.1869098332233,-79.8944985866547
85,-2.18805430186669,-79.8948124051094
86,-2.18662572611802,-79.895271062851
87,-2.18762814151371,-79.8946809768677
88,-2.1875343326147,-79.8946487903595
89,-2.18705456701098,-79.8954480886459
90,-2.18712693389958,-79.8954695463181
91,-2.18772463066084,-79.8947104811669
92,-2.18670613379479,-79.8950162529946
93,-2.18658552227802,-79.8953783512116
94,-2.1865613999735,-79.8954641819
95,-2.1868508676021,-79.8945736885071
96,-2.18693931603304,-79.8954132199287
97,-2.18686426887985,-79.8953890800476
98,-2.18646256552734,-79.8980873823166
99,-2.18656977577372,-79.8978191614151
100,-2.18667698601245,-79.8974865674973
101,-2.18675739368647,-79.8972129821777
102,-2.1868538828896,-79.896901845932
103,-2.18696645361875,-79.8965799808502
104,-2.18706830331881,-79.8962742090225
105,-2.18696645361875,-79.8966175317764
106,-2.18713262944159,-79.8961132764816
107,-2.18721839760101,-79.8957967758179
108,-2.18730416575553,-79.8955285549164
109,-2.18742745746906,-79.8951476812363
110,-2.1875346676465,-79.8947882652283
111,-2.18763651730796,-79.894562959671
112,-2.18773300645456,-79.8943001031876
113,-2.18781877457966,-79.8939621448517
114,-2.18795278726529,-79.8935598134995
115,-2.18805463689837,-79.8932754993439
116,-2.18813504449854,-79.8929858207703
117,-2.18823153361305,-79.8926961421967
118,-2.18834946474459,-79.8923689126969
119,-2.18841915131795,-79.8921221494675
120,-2.1885049194038,-79.8918807506561
121,-2.18858532697982,-79.8916447162628
122,-2.18867109505617,-79.8914033174515
123,-2.18872470010139,-79.8911672830582
124,-2.18883191018608,-79.8908454179764
125,-2.18892839925574,-79.8905396461487
126,-2.18900344630564,-79.8903250694275
127,-2.18909457486117,-79.8900783061981
128,-2.18921250592482,-79.8897242546082
129,-2.1893250764769,-79.8893916606903
130,-2.18670881405059,-79.8972478508949
131,-2.18674365737579,-79.8971164226532
132,-2.18678922172292,-79.8969715833664
133,-2.18683478606865,-79.8968401551247
134,-2.18704384599016,-79.8962125182152
135,-2.18712693389958,-79.8960301280022
136,-2.18717785874502,-79.8958584666252
137,-2.1872689874115,-79.8955821990967
138,-2.186880350413,-79.8967382311821
139,-2.18691519373421,-79.8966228961945
140,-2.18695271731,-79.8964995145798
141,-2.18722074282405,-79.8957270383835
142,-2.18726094664702,-79.895456135273
143,-2.18716713772508,-79.895458817482
144,-2.18675169814303,-79.8953032493591
145,-2.18676509942167,-79.8950511217117
146,-2.1868079835125,-79.894914329052
147,-2.18692859501138,-79.8945495486259
148,-2.18709477083842,-79.8945093154907
149,-2.18807306364045,-79.8948231339455
150,-2.18678386121156,-79.8947855830193
151,-2.18670077328313,-79.8950296640396
152,-2.18658284202198,-79.8953917622566
153,-2.18647027126405,-79.8959308862686
154,-2.18653727766859,-79.8959550261498
155,-2.18660696432616,-79.8959872126579
156,-2.18701168292719,-79.8961293697357
157,-2.18692859501138,-79.8964378237724
158,-2.18682674530186,-79.8967435956001
159,-2.18685890836877,-79.8947802186012
160,-2.18669541277147,-79.8971217870712
161,-2.18689107143499,-79.8946675658226
162,-2.18672221532961,-79.8951852321625
163,-2.18699024088485,-79.8944771289826
164,-2.18720466129456,-79.8945441842079
165,-2.18731455174266,-79.8945817351341
166,-2.1864327476762,-79.8958665132523
167,-2.18669005225978,-79.8960086703301
168,-2.1867972624899,-79.8960515856743
169,-2.18687767015749,-79.8960757255554
170,-2.18689107143499,-79.896545112133
171,-2.1868508676021,-79.8966577649117
172,-2.18679190197859,-79.8968374729157
173,-2.18675705865451,-79.8969528079033
174,-2.18665252867742,-79.897258579731
175,-2.18651583561946,-79.8955741524696
176,-2.18675437839878,-79.8948660492897
177,-2.18666324970105,-79.8951423168182
178,-2.18672221532961,-79.8970440030098
179,-2.18696343833148,-79.8963385820389
180,-2.18661768535011,-79.895284473896
181,-2.18694199628844,-79.8960971832276
182,-2.18672757584119,-79.8949357867241
183,-2.18690715296785,-79.8945012688637
184,-2.18795245223359,-79.8947775363922
185,-2.18699292114017,-79.8962393403053
186,-2.18782380005557,-79.894745349884
187,-2.18773267142281,-79.8947131633759
188,-2.18764154278451,-79.8946809768677
189,-2.18713229440971,-79.8954695463181
190,-2.18754505363203,-79.8946487903595
191,-2.18655603946133,-79.8954722285271
192,-2.1868508676021,-79.8945844173432
193,-2.1868160242794,-79.8946943879128
194,-2.18705992752136,-79.8954480886459
195,-2.18695003705462,-79.8954132199287
196,-2.18686962939092,-79.8953890800476
197,-2.18647328655232,-79.8980712890625
198,-2.18657513628584,-79.897792339325
199,-2.1866877070359,-79.8974651098251
200,-2.18676811470935,-79.8971915245056
201,-2.18685924340071,-79.8968696594238
202,-2.18697181412946,-79.896537065506
203,-2.18706830331881,-79.8962903022766
204,-2.18696109310804,-79.8966389894486
205,-2.1871379899517,-79.8960918188095
206,-2.18722911862059,-79.8957753181458
207,-2.18732024728396,-79.8955070972443
208,-2.18743281797811,-79.8951262235642
209,-2.18757219120679,-79.894734621048
210,-2.18765259883283,-79.8945415019989
211,-2.18774372747046,-79.8942571878433
212,-2.18782949559494,-79.8939192295075
213,-2.18796886878676,-79.8935329914093
214,-2.18806535791198,-79.8932433128357
215,-2.18814576551157,-79.8929643630982
216,-2.1882422546254,-79.8926585912705
217,-2.18835482525034,-79.8923474550247
218,-2.18844059333987,-79.8920953273773
219,-2.18851564041419,-79.891859292984
220,-2.18859068748474,-79.8916178941727
221,-2.18867645556078,-79.8913818597794
222,-2.18874078161458,-79.891129732132
223,-2.1888533522021,-79.8908185958862
224,-2.1889391202631,-79.8905181884766
225,-2.18900880680907,-79.8903089761734
226,-2.1891106563704,-79.8900407552719
227,-2.18922858743278,-79.889697432518
228,-2.18933043697918,-79.8893594741821
229,-2.1868508676021,-79.8945951461792
230,-2.18671149430642,-79.8972371220589
231,-2.18675169814303,-79.8971003293991
232,-2.1867972624899,-79.8969528079033
233,-2.18684014657982,-79.8968240618706
234,-2.18705188675578,-79.8961964249611
235,-2.18713229440971,-79.8960086703301
