,id_trayectoria_hist,usuario,latitud,longitud,fecha_registro,fecha_desde,fecha_hasta,marcador_lat_desde,marcador_lng_desde,id_tipo_vehiculo,marcador_lat_hasta,marcador_lng_hasta,geom
0,16171, kbaque ,-2.18780805356428,-79.8939996957779,,,,,,5,,,
1,16172, kbaque ,-2.18793670574364,-79.8935920000076,,,,,,5,,,
2,16173, kbaque ,-2.18781877457966,-79.8939621448517,,,,,,5,,,
3,16174, kbaque ,-2.18795278726529,-79.8935598134995,,,,,,5,,,
4,16175, kbaque ,-2.18782949559494,-79.8939192295075,,,,,,5,,,
5,16176, kbaque ,-2.18784557711773,-79.8938870429993,,,,,,5,,,
6,16177, kbaque ,-2.18786165864035,-79.8938494920731,,,,,,5,,,
7,16178, kbaque ,-2.18776516950205,-79.8941445350647,,,,,,5,,,
8,16179, kbaque ,-2.18788846117768,-79.8937958478928,,,,,,5,,,
9,16180, kbaque ,-2.18777589051771,-79.8941123485565,,,,,,5,,,
10,16181, kbaque ,-2.18789382168509,-79.8937261104584,,,,,,5,,,
11,16182, kbaque ,-2.18778661153332,-79.8940801620483,,,,,,5,,,
12,16183, kbaque ,-2.18790454269984,-79.8937046527863,,,,,,5,,,
13,16184, kbaque ,-2.18779197204108,-79.8940747976303,,,,,,5,,,
14,16185, kbaque ,-2.18792062422183,-79.893656373024,,,,,,5,,,
15,16186, kbaque ,-2.18779197204108,-79.8940372467041,,,,,,5,,,
16,16187, kbaque ,-2.18793134523639,-79.8936349153519,,,,,,5,,,
17,16188, kbaque ,-2.18774607269268,-79.8941177129746,,,,,,1,,,
18,16189, kbaque ,-2.18775679370849,-79.8941230773926,,,,,,1,,,
19,16190, kbaque ,-2.1877648344703,-79.8941096663475,,,,,,1,,,
20,16191, kbaque ,-2.18775411345455,-79.8940747976303,,,,,,1,,,
21,16192, kbaque ,-2.18777287523207,-79.8940855264664,,,,,,1,,,
22,16193, kbaque ,-2.18777287523207,-79.8940667510033,,,,,,1,,,
23,16194, kbaque ,-2.18778359624769,-79.8940667510033,,,,,,1,,,
24,16195, kbaque ,-2.18776751472423,-79.8940372467041,,,,,,1,,,
25,16196, kbaque ,-2.18778359624769,-79.8940452933312,,,,,,1,,,
26,16197, kbaque ,-2.18779163700935,-79.8940265178681,,,,,,1,,,
27,16198, kbaque ,-2.18780235802484,-79.8940292000771,,,,,,1,,,
28,16199, kbaque ,-2.1877969975171,-79.8939996957779,,,,,,1,,,
29,16200, kbaque ,-2.18781307904024,-79.8939889669418,,,,,,1,,,
30,16201, kbaque ,-2.18781307904024,-79.8939621448517,,,,,,1,,,
31,16202, kbaque ,-2.18782380005557,-79.8939648270607,,,,,,1,,,
32,16203, kbaque ,-2.18782111980175,-79.8939380049706,,,,,,1,,,
33,16204, kbaque ,-2.18783184081704,-79.8939380049706,,,,,,1,,,
34,16205, kbaque ,-2.18782111980175,-79.8939031362534,,,,,,1,,,
35,16206, kbaque ,-2.18781575929409,-79.8938736319542,,,,,,1,,,
36,16207, kbaque ,-2.18782916056322,-79.8939058184624,,,,,,1,,,
37,16208, kbaque ,-2.18783720132463,-79.8938843607903,,,,,,1,,,
38,16209, kbaque ,-2.18783988157843,-79.8938494920731,,,,,,1,,,
39,16210, kbaque ,-2.18785328284735,-79.8938468098641,,,,,,1,,,
40,16211, kbaque ,-2.18784256183222,-79.8938226699829,,,,,,1,,,
41,16212, kbaque ,-2.18786400386239,-79.8938065767288,,,,,,1,,,
42,16213, kbaque ,-2.18785596310112,-79.8937904834747,,,,,,1,,,
43,16214, kbaque ,-2.18785864335487,-79.8937690258026,,,,,,1,,,
44,16215, kbaque ,-2.18788276563853,-79.8937690258026,,,,,,1,,,
45,16216, kbaque ,-2.18788276563853,-79.8937395215035,,,,,,1,,,
46,16217, kbaque ,-2.18787472487736,-79.8937207460404,,,,,,1,,,
47,16218, kbaque ,-2.1878774051311,-79.8937073349953,,,,,,1,,,
48,16219, kbaque ,-2.18789080639967,-79.8937180638313,,,,,,1,,,
49,16220, kbaque ,-2.18788544589225,-79.8936858773232,,,,,,1,,,
50,16221, kbaque ,-2.18789616690707,-79.8936885595322,,,,,,1,,,
51,16222, kbaque ,-2.18789080639967,-79.893659055233,,,,,,1,,,
52,16223, kbaque ,-2.18790152741445,-79.8936671018601,,,,,,1,,,
53,16224, kbaque ,-2.18789616690707,-79.8936402797699,,,,,,1,,,
54,16225, kbaque ,-2.18791224842915,-79.893651008606,,,,,,1,,,
55,16226, kbaque ,-2.1879068879218,-79.8936215043068,,,,,,1,,,
56,16227, kbaque ,-2.18792028919013,-79.8936241865158,,,,,,1,,,
57,16228, kbaque ,-2.18791492868281,-79.8935973644257,,,,,,1,,,
58,16229, kbaque ,-2.18792564969742,-79.8936000466347,,,,,,1,,,
59,16230, kbaque ,-2.18792564969742,-79.8935759067536,,,,,,1,,,
60,16231, kbaque ,-2.18793905096556,-79.8935759067536,,,,,,1,,,
61,16232, kbaque ,-2.18793101020469,-79.8935490846634,,,,,,1,,,
62,16233, kbaque ,-2.18794173121917,-79.8935490846634,,,,,,1,,,
